aTalk
briar
cheogram
conversations
cwtch
delta_chat
dino
fluffychat
gajim
gnunet
imessage
jami
keybase
manyverse
matrix
meshenger
molly
monocles
mumble
nekogramx
nheko
olvid
onion_share
pidgin
pybitmessage
qual
quassel
quiet
retroshare
SafeUM
schildichat
session
signal
signal_foss
signal_jw
simplex
skype
smoke
snapchat
telegram
telegram_foss
threema
tox
viber
whatsapp
wickr_me
xmpp
xx
wire
zoom
